ts,rot,invx,invy,panx,pany,ks_h,ks_v,pin_x,pin_y,lead,opix,opix_exp,eol,starved,result,tl_x,tl_y,tr_x,tr_y,br_x,br_y,bl_x,bl_y,scale_pct
1782679694,0,4096,4096,0,0,0,0,0,0,4096,2073600,2073600,1080,1174,FULL,-150,-150,-150,-150,-150,-150,-150,-150,100
1782679695,0,4096,4096,0,0,0,0,0,0,6144,2073600,2073600,1080,11127,FULL,-150,-150,-150,-150,-150,-150,-150,-150,100
1782679696,0,4096,4096,0,0,0,0,0,0,8192,2073600,2073600,1080,11127,FULL,-150,-150,-150,-150,-150,-150,-150,-150,100
1782679697,0,4096,4096,0,0,0,0,0,0,12288,2073600,2073600,1080,11127,FULL,-150,-150,-150,-150,-150,-150,-150,-150,100
1782679698,0,4096,4096,0,0,0,0,0,0,16384,2073600,2073600,1080,11127,FULL,-150,-150,-150,-150,-150,-150,-150,-150,100
1782679700,0,4096,4096,0,0,0,0,0,0,24576,2073600,2073600,1080,11127,FULL,-150,-150,-150,-150,-150,-150,-150,-150,100
1782679708,0,4096,4096,0,0,0,0,0,0,4096,825772,2073600,430,63249,short,150,-150,-150,-150,-150,-150,-150,-150,100
1782679709,0,4096,4096,0,0,0,0,0,0,6144,2073600,2073600,1080,11127,FULL,150,-150,-150,-150,-150,-150,-150,-150,100
1782679710,0,4096,4096,0,0,0,0,0,0,8192,2073600,2073600,1080,11127,FULL,150,-150,-150,-150,-150,-150,-150,-150,100
1782679711,0,4096,4096,0,0,0,0,0,0,12288,2073600,2073600,1080,11127,FULL,150,-150,-150,-150,-150,-150,-150,-150,100
1782679712,0,4096,4096,0,0,0,0,0,0,16384,2073600,2073600,1080,11127,FULL,150,-150,-150,-150,-150,-150,-150,-150,100
1782679714,0,4096,4096,0,0,0,0,0,0,24576,825738,2073600,430,1556,short,150,-150,-150,-150,-150,-150,-150,-150,100
1782679723,0,4096,4096,0,0,0,0,0,0,4096,2073600,2073600,1080,11127,FULL,-150,150,-150,-150,-150,-150,-150,-150,100
1782679723,0,4096,4096,0,0,0,0,0,0,6144,2073600,2073600,1080,11127,FULL,-150,150,-150,-150,-150,-150,-150,-150,100
1782679724,0,4096,4096,0,0,0,0,0,0,8192,2073600,2073600,1080,11127,FULL,-150,150,-150,-150,-150,-150,-150,-150,100
1782679725,0,4096,4096,0,0,0,0,0,0,12288,549418,2073600,286,35284,short,-150,150,-150,-150,-150,-150,-150,-150,100
1782679727,0,4096,4096,0,0,0,0,0,0,16384,549565,2073600,286,31594,short,-150,150,-150,-150,-150,-150,-150,-150,100
1782679728,0,4096,4096,0,0,0,0,0,0,24576,549483,2073600,286,31727,short,-150,150,-150,-150,-150,-150,-150,-150,100
1782679737,0,4096,4096,0,0,0,0,0,0,4096,564811,2073600,294,12402,short,150,150,-150,-150,-150,-150,-150,-150,100
1782679738,0,4096,4096,0,0,0,0,0,0,6144,2073600,2073600,1080,11464,FULL,150,150,-150,-150,-150,-150,-150,-150,100
1782679739,0,4096,4096,0,0,0,0,0,0,8192,2073600,2073600,1080,11472,FULL,150,150,-150,-150,-150,-150,-150,-150,100
1782679740,0,4096,4096,0,0,0,0,0,0,12288,2073600,2073600,1080,11473,FULL,150,150,-150,-150,-150,-150,-150,-150,100
1782679741,0,4096,4096,0,0,0,0,0,0,16384,564896,2073600,294,14172,short,150,150,-150,-150,-150,-150,-150,-150,100
1782679742,0,4096,4096,0,0,0,0,0,0,24576,564661,2073600,294,13718,short,150,150,-150,-150,-150,-150,-150,-150,100
1782679751,0,4096,4096,0,0,0,0,0,0,4096,991509,2073600,516,18610,short,-150,-150,150,-150,-150,-150,-150,-150,100
1782679752,0,4096,4096,0,0,0,0,0,0,6144,991321,2073600,516,23696,short,-150,-150,150,-150,-150,-150,-150,-150,100
1782679753,0,4096,4096,0,0,0,0,0,0,8192,991364,2073600,516,22419,short,-150,-150,150,-150,-150,-150,-150,-150,100
1782679754,0,4096,4096,0,0,0,0,0,0,12288,991385,2073600,516,21232,short,-150,-150,150,-150,-150,-150,-150,-150,100
1782679755,0,4096,4096,0,0,0,0,0,0,16384,991342,2073600,516,20668,short,-150,-150,150,-150,-150,-150,-150,-150,100
1782679756,0,4096,4096,0,0,0,0,0,0,24576,991407,2073600,516,22349,short,-150,-150,150,-150,-150,-150,-150,-150,100
1782679765,0,4096,4096,0,0,0,0,0,0,4096,1052747,2073600,552,19459,short,150,-150,150,-150,-150,-150,-150,-150,100
1782679766,0,4096,4096,0,0,0,0,0,0,6144,1060094,2073600,552,18692,short,150,-150,150,-150,-150,-150,-150,-150,100
1782679767,0,4096,4096,0,0,0,0,0,0,8192,2073600,2073600,1080,11127,FULL,150,-150,150,-150,-150,-150,-150,-150,100
1782679768,0,4096,4096,0,0,0,0,0,0,12288,2073600,2073600,1080,11127,FULL,150,-150,150,-150,-150,-150,-150,-150,100
1782679769,0,4096,4096,0,0,0,0,0,0,16384,1060046,2073600,552,16958,short,150,-150,150,-150,-150,-150,-150,-150,100
1782679771,0,4096,4096,0,0,0,0,0,0,24576,1060022,2073600,552,17906,short,150,-150,150,-150,-150,-150,-150,-150,100
1782679779,0,4096,4096,0,0,0,0,0,0,4096,2073600,2073600,1080,11127,FULL,-150,150,150,-150,-150,-150,-150,-150,100
1782679780,0,4096,4096,0,0,0,0,0,0,6144,2073600,2073600,1080,11127,FULL,-150,150,150,-150,-150,-150,-150,-150,100
1782679781,0,4096,4096,0,0,0,0,0,0,8192,2073600,2073600,1080,11127,FULL,-150,150,150,-150,-150,-150,-150,-150,100
1782679782,0,4096,4096,0,0,0,0,0,0,12288,640054,2073600,333,214,short,-150,150,150,-150,-150,-150,-150,-150,100
1782679783,0,4096,4096,0,0,0,0,0,0,16384,639846,2073600,333,3806,short,-150,150,150,-150,-150,-150,-150,-150,100
1782679785,0,4096,4096,0,0,0,0,0,0,24576,640036,2073600,333,63314,short,-150,150,150,-150,-150,-150,-150,-150,100
1782679794,0,4096,4096,0,0,0,0,0,0,4096,653882,2073600,340,47097,short,150,150,150,-150,-150,-150,-150,-150,100
1782679795,0,4096,4096,0,0,0,0,0,0,6144,2073600,2073600,1080,11296,FULL,150,150,150,-150,-150,-150,-150,-150,100
1782679796,0,4096,4096,0,0,0,0,0,0,8192,2073600,2073600,1080,11276,FULL,150,150,150,-150,-150,-150,-150,-150,100
1782679797,0,4096,4096,0,0,0,0,0,0,12288,653829,2073600,341,52349,short,150,150,150,-150,-150,-150,-150,-150,100
1782679798,0,4096,4096,0,0,0,0,0,0,16384,654206,2073600,340,46318,short,150,150,150,-150,-150,-150,-150,-150,100
1782679799,0,4096,4096,0,0,0,0,0,0,24576,654011,2073600,340,47207,short,150,150,150,-150,-150,-150,-150,-150,100
1782679808,0,4096,4096,0,0,0,0,0,0,4096,2073600,2073600,1080,11127,FULL,-150,-150,-150,150,-150,-150,-150,-150,100
1782679809,0,4096,4096,0,0,0,0,0,0,6144,2073600,2073600,1080,11127,FULL,-150,-150,-150,150,-150,-150,-150,-150,100
1782679810,0,4096,4096,0,0,0,0,0,0,8192,2073600,2073600,1080,11127,FULL,-150,-150,-150,150,-150,-150,-150,-150,100
1782679811,0,4096,4096,0,0,0,0,0,0,12288,2073600,2073600,1080,11127,FULL,-150,-150,-150,150,-150,-150,-150,-150,100
1782679812,0,4096,4096,0,0,0,0,0,0,16384,2073600,2073600,1080,11127,FULL,-150,-150,-150,150,-150,-150,-150,-150,100
1782679813,0,4096,4096,0,0,0,0,0,0,24576,431068,2073600,224,24628,short,-150,-150,-150,150,-150,-150,-150,-150,100
1782679822,0,4096,4096,0,0,0,0,0,0,4096,2073600,2073600,1080,11127,FULL,150,-150,-150,150,-150,-150,-150,-150,100
