ts,rot,invx,invy,panx,pany,ks_h,ks_v,pin_x,pin_y,lead,opix,opix_exp,eol,starved,result,tl_x,tl_y,tr_x,tr_y,br_x,br_y,bl_x,bl_y,scale_pct
1782683532,0,4096,4096,0,0,0,0,0,0,16384,303836,921600,237,14653,short,200,200,200,-200,-200,-200,-200,-200,100
1782683533,0,4096,4096,0,0,0,0,0,0,24576,538719,921600,420,24975,short,200,200,200,-200,-200,-200,-200,-200,100
1782683542,0,4096,4096,0,0,0,0,0,0,4096,921600,921600,720,10049,FULL,-200,-200,-200,200,-200,-200,-200,-200,100
1782683543,0,4096,4096,0,0,0,0,0,0,6144,921600,921600,720,10049,FULL,-200,-200,-200,200,-200,-200,-200,-200,100
1782683544,0,4096,4096,0,0,0,0,0,0,8192,921600,921600,720,10049,FULL,-200,-200,-200,200,-200,-200,-200,-200,100
1782683545,0,4096,4096,0,0,0,0,0,0,12288,229738,921600,179,36356,short,-200,-200,-200,200,-200,-200,-200,-200,100
1782683546,0,4096,4096,0,0,0,0,0,0,16384,229669,921600,179,37394,short,-200,-200,-200,200,-200,-200,-200,-200,100
1782683548,0,4096,4096,0,0,0,0,0,0,24576,229771,921600,180,34938,short,-200,-200,-200,200,-200,-200,-200,-200,100
1782683556,0,4096,4096,0,0,0,0,0,0,4096,921600,921600,720,10049,FULL,200,-200,-200,200,-200,-200,-200,-200,100
1782683557,0,4096,4096,0,0,0,0,0,0,4096,921600,921600,720,10049,FULL,200,-200,-200,200,-200,-200,-200,-200,100
1782683558,0,4096,4096,0,0,0,0,0,0,6144,921600,921600,720,10049,FULL,200,-200,-200,200,-200,-200,-200,-200,100
1782683559,0,4096,4096,0,0,0,0,0,0,8192,263634,921600,221,37843,short,200,-200,-200,200,-200,-200,-200,-200,100
1782683560,0,4096,4096,0,0,0,0,0,0,12288,283343,921600,221,40638,short,200,-200,-200,200,-200,-200,-200,-200,100
1782683561,0,4096,4096,0,0,0,0,0,0,16384,608574,921600,475,17459,short,200,-200,-200,200,-200,-200,-200,-200,100
1782683563,0,4096,4096,0,0,0,0,0,0,24576,283408,921600,221,36830,short,200,-200,-200,200,-200,-200,-200,-200,100
1782683571,0,4096,4096,0,0,0,0,0,0,4096,921600,921600,720,10049,FULL,-200,200,-200,200,-200,-200,-200,-200,100
1782683572,0,4096,4096,0,0,0,0,0,0,6144,921600,921600,720,10049,FULL,-200,200,-200,200,-200,-200,-200,-200,100
1782683572,0,4096,4096,0,0,0,0,0,0,8192,921600,921600,720,10049,FULL,-200,200,-200,200,-200,-200,-200,-200,100
1782683574,0,4096,4096,0,0,0,0,0,0,12288,921600,921600,720,10049,FULL,-200,200,-200,200,-200,-200,-200,-200,100
1782683575,0,4096,4096,0,0,0,0,0,0,16384,921600,921600,720,10049,FULL,-200,200,-200,200,-200,-200,-200,-200,100
1782683576,0,4096,4096,0,0,0,0,0,0,24576,205221,921600,166,40901,short,-200,200,-200,200,-200,-200,-200,-200,100
1782683585,0,4096,4096,0,0,0,0,0,0,4096,921600,921600,720,10195,FULL,200,200,-200,200,-200,-200,-200,-200,100
1782683586,0,4096,4096,0,0,0,0,0,0,6144,921600,921600,720,10196,FULL,200,200,-200,200,-200,-200,-200,-200,100
