ts,rot,invx,invy,panx,pany,ks_h,ks_v,pin_x,pin_y,lead,opix,opix_exp,eol,starved,result,tl_x,tl_y,tr_x,tr_y,br_x,br_y,bl_x,bl_y,scale_pct
1782676087,0,4096,4096,0,0,0,0,0,0,12288,783930,2073600,408,49176,short,-200,200,200,-200,-200,-200,-200,-200,100
1782676088,0,4096,4096,0,0,0,0,0,0,16384,762801,2073600,409,46240,short,-200,200,200,-200,-200,-200,-200,-200,100
1782676089,0,4096,4096,0,0,0,0,0,0,24576,784026,2073600,409,44802,short,-200,200,200,-200,-200,-200,-200,-200,100
1782676098,0,4096,4096,0,0,0,0,0,0,4096,780411,2073600,406,48869,short,200,200,200,-200,-200,-200,-200,-200,100
1782676099,0,4096,4096,0,0,0,0,0,0,6144,779460,2073600,405,47472,short,200,200,200,-200,-200,-200,-200,-200,100
1782676100,0,4096,4096,0,0,0,0,0,0,8192,753148,2073600,392,7689,short,200,200,200,-200,-200,-200,-200,-200,100
1782676101,0,4096,4096,0,0,0,0,0,0,12288,753147,2073600,392,11758,short,200,200,200,-200,-200,-200,-200,-200,100
1782676102,0,4096,4096,0,0,0,0,0,0,16384,753045,2073600,392,11476,short,200,200,200,-200,-200,-200,-200,-200,100
1782676103,0,4096,4096,0,0,0,0,0,0,24576,753270,2073600,392,11524,short,200,200,200,-200,-200,-200,-200,-200,100
1782676112,0,4096,4096,0,0,0,0,0,0,4096,2073600,2073600,1080,11127,FULL,-200,-200,-200,200,-200,-200,-200,-200,100
1782676113,0,4096,4096,0,0,0,0,0,0,6144,2073600,2073600,1080,11127,FULL,-200,-200,-200,200,-200,-200,-200,-200,100
1782676114,0,4096,4096,0,0,0,0,0,0,8192,2073600,2073600,1080,11127,FULL,-200,-200,-200,200,-200,-200,-200,-200,100
1782676115,0,4096,4096,0,0,0,0,0,0,12288,511378,2073600,266,14922,short,-200,-200,-200,200,-200,-200,-200,-200,100
1782676116,0,4096,4096,0,0,0,0,0,0,16384,511391,2073600,266,10710,short,-200,-200,-200,200,-200,-200,-200,-200,100
1782676118,0,4096,4096,0,0,0,0,0,0,24576,511694,2073600,266,13501,short,-200,-200,-200,200,-200,-200,-200,-200,100
1782676126,0,4096,4096,0,0,0,0,0,0,4096,2073600,2073600,1080,39,FULL,200,-200,-200,200,-200,-200,-200,-200,100
1782676127,0,4096,4096,0,0,0,0,0,0,6144,2073600,2073600,1080,11127,FULL,200,-200,-200,200,-200,-200,-200,-200,100
1782676128,0,4096,4096,0,0,0,0,0,0,8192,2073600,2073600,1080,11127,FULL,200,-200,-200,200,-200,-200,-200,-200,100
1782676129,0,4096,4096,0,0,0,0,0,0,12288,575676,2073600,299,3715,short,200,-200,-200,200,-200,-200,-200,-200,100
1782676130,0,4096,4096,0,0,0,0,0,0,16384,575878,2073600,299,6715,short,200,-200,-200,200,-200,-200,-200,-200,100
1782676132,0,4096,4096,0,0,0,0,0,0,24576,575852,2073600,299,3707,short,200,-200,-200,200,-200,-200,-200,-200,100
1782676141,0,4096,4096,0,0,0,0,0,0,4096,329922,2073600,172,56009,short,-200,200,-200,200,-200,-200,-200,-200,100
1782676141,0,4096,4096,0,0,0,0,0,0,6144,2073600,2073600,1080,11127,FULL,-200,200,-200,200,-200,-200,-200,-200,100
1782676142,0,4096,4096,0,0,0,0,0,0,8192,2073600,2073600,1080,11127,FULL,-200,200,-200,200,-200,-200,-200,-200,100
1782676143,0,4096,4096,0,0,0,0,0,0,12288,2073600,2073600,1080,11127,FULL,-200,200,-200,200,-200,-200,-200,-200,100
1782676145,0,4096,4096,0,0,0,0,0,0,16384,2073600,2073600,1080,11127,FULL,-200,200,-200,200,-200,-200,-200,-200,100
1782676146,0,4096,4096,0,0,0,0,0,0,24576,2073600,2073600,1080,11127,FULL,-200,200,-200,200,-200,-200,-200,-200,100
1782676155,0,4096,4096,0,0,0,0,0,0,4096,400725,2073600,208,47557,short,200,200,-200,200,-200,-200,-200,-200,100
1782676156,0,4096,4096,0,0,0,0,0,0,6144,2073600,2073600,1080,11295,FULL,200,200,-200,200,-200,-200,-200,-200,100
1782676157,0,4096,4096,0,0,0,0,0,0,8192,2073600,2073600,1080,11275,FULL,200,200,-200,200,-200,-200,-200,-200,100
1782676158,0,4096,4096,0,0,0,0,0,0,12288,2073600,2073600,1080,11272,FULL,200,200,-200,200,-200,-200,-200,-200,100
1782676159,0,4096,4096,0,0,0,0,0,0,16384,2073600,2073600,1080,11297,FULL,200,200,-200,200,-200,-200,-200,-200,100
1782676160,0,4096,4096,0,0,0,0,0,0,24576,2073600,2073600,1080,11280,FULL,200,200,-200,200,-200,-200,-200,-200,100
1782676169,0,4096,4096,0,0,0,0,0,0,4096,2073600,2073600,1080,11127,FULL,-200,-200,200,200,-200,-200,-200,-200,100
1782676170,0,4096,4096,0,0,0,0,0,0,6144,2073600,2073600,1080,11127,FULL,-200,-200,200,200,-200,-200,-200,-200,100
1782676171,0,4096,4096,0,0,0,0,0,0,8192,2073600,2073600,1080,11127,FULL,-200,-200,200,200,-200,-200,-200,-200,100
1782676172,0,4096,4096,0,0,0,0,0,0,12288,2073600,2073600,1080,11127,FULL,-200,-200,200,200,-200,-200,-200,-200,100
1782676173,0,4096,4096,0,0,0,0,0,0,16384,610960,2073600,318,34251,short,-200,-200,200,200,-200,-200,-200,-200,100
1782676174,0,4096,4096,0,0,0,0,0,0,24576,610804,2073600,318,34387,short,-200,-200,200,200,-200,-200,-200,-200,100
1782676183,0,4096,4096,0,0,0,0,0,0,4096,2073600,2073600,1080,12,FULL,200,-200,200,200,-200,-200,-200,-200,100
1782676184,0,4096,4096,0,0,0,0,0,0,6144,2073600,2073600,1080,11127,FULL,200,-200,200,200,-200,-200,-200,-200,100
1782676185,0,4096,4096,0,0,0,0,0,0,8192,2073600,2073600,1080,0,FULL,200,-200,200,200,-200,-200,-200,-200,100
1782676186,0,4096,4096,0,0,0,0,0,0,12288,662528,2073600,345,40372,short,200,-200,200,200,-200,-200,-200,-200,100
